model,train_variant,test_set,seed,tag,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_not_hate,f1_hate
banglabert-adapt250,augmented,clean,44,full,5028,0.9210421638822593,0.9218949288528819,0.9222187078486456,0.9210395371540196,0.9210572902138463,0.9214949574846747,0.9205841168233647
banglabert-adapt500,augmented,augmented,42,full,5028,0.9110978520286396,0.9111382429367814,0.9117623196048802,0.911067426634117,0.9111315489709604,0.9127123608670181,0.9094224924012158
banglabert-adapt500,augmented,augmented,43,full,5028,0.9168655529037391,0.9168655529037391,0.9174999746458019,0.9168339586833698,0.9168971471241084,0.9184549356223176,0.9152129817444219
banglabert-adapt500,augmented,augmented,44,full,5028,0.9110978520286396,0.9113877511811299,0.910566552234719,0.9108827893983986,0.911053446384339,0.915260663507109,0.9065049152896884
banglabert-adapt500,augmented,bidwesh_barishal,42,full,1439,0.911049339819319,0.9118463293881024,0.9115136676856722,0.9110441417946489,0.9110313830068223,0.9103641456582633,0.9117241379310345
banglabert-adapt500,augmented,bidwesh_barishal,43,full,1439,0.9082696316886727,0.9095289804577411,0.9088373288399182,0.9082536370486292,0.9082309078233043,0.9070422535211268,0.9094650205761317
banglabert-adapt500,augmented,bidwesh_barishal,44,full,1439,0.9075747046560111,0.9075511623862254,0.9075291112236183,0.9075396980681054,0.9075734544207288,0.9093387866394002,0.9057406094968108
banglabert-adapt500,augmented,bidwesh_chittagong,42,full,1494,0.857429718875502,0.8584763151600598,0.8572485949417905,0.8572761909460517,0.8573075231765517,0.8619572261827608,0.8525951557093425
banglabert-adapt500,augmented,bidwesh_chittagong,43,full,1494,0.856091030789826,0.8566776150977008,0.8559546510294203,0.8559928985010188,0.856018060626354,0.8597521200260926,0.852233676975945
banglabert-adapt500,augmented,bidwesh_chittagong,44,full,1494,0.8480589022757697,0.8570356731875719,0.847527886104261,0.8469529632786936,0.8470400450894869,0.8599629858112277,0.8339429407461595
banglabert-adapt500,augmented,bidwesh_heldout,42,full,4408,0.8874773139745916,0.8877503861600247,0.8876201017390509,0.8874739782339456,0.8874678627094277,0.8868613138686131,0.8880866425992779
banglabert-adapt500,augmented,bidwesh_heldout,43,full,4408,0.8852087114337568,0.8858112090747587,0.8854146850445901,0.8851927345200887,0.885179215593139,0.8838383838383839,0.8865470852017937
banglabert-adapt500,augmented,bidwesh_heldout,44,full,4408,0.8874773139745916,0.8886886461542787,0.8872033949252357,0.8873288676488533,0.8873696903884315,0.8914185639229422,0.8832391713747646
banglabert-adapt500,augmented,bidwesh_noakhali,42,full,1475,0.8949152542372881,0.8982674716835676,0.8951348976087252,0.8947292567712859,0.8947082570573822,0.8903043170559094,0.8991541964866623
banglabert-adapt500,augmented,bidwesh_noakhali,43,full,1475,0.8922033898305085,0.8966027877801437,0.8924551475103605,0.8919459225106787,0.8919208909656953,0.8866714183891661,0.8972204266321914
banglabert-adapt500,augmented,bidwesh_noakhali,44,full,1475,0.9077966101694915,0.9077934709066307,0.907800968571082,0.9077955506526936,0.9077970339762108,0.9081081081081082,0.9074829931972789
banglabert-adapt500,augmented,clean,42,full,5028,0.9254176610978521,0.9256101700145021,0.9262281573582953,0.9254001655004549,0.9254446997483748,0.9265426052889324,0.9242577257119774
banglabert-adapt500,augmented,clean,43,full,5028,0.9222354813046937,0.9227198029303101,0.9232274880074642,0.9222268397686129,0.9222587971473271,0.9230466443613462,0.9214070351758794
banglabert-adapt500,augmented,clean,44,full,5028,0.926412092283214,0.9263000998955406,0.9263000998955406,0.9263000998955406,0.926412092283214,0.9291730474732006,0.9234271523178808
banglabert-adaptfull,augmented,augmented,42,full,5028,0.9162688941925219,0.9161792346773202,0.9168014664868209,0.9162280665824432,0.9163001585786181,0.9180774469741195,0.9143786861907667
banglabert-adaptfull,augmented,augmented,43,full,5028,0.9186555290373906,0.9189482498217457,0.9181512606107319,0.9184619305073254,0.9186168093313777,0.922435046463114,0.9144888145515367
banglabert-adaptfull,augmented,augmented,44,full,5028,0.9168655529037391,0.9166849707524973,0.9172515035039501,0.9168099410209452,0.9168937866288498,0.9189608375339279,0.9146590445079624
banglabert-adaptfull,augmented,bidwesh_barishal,42,full,1439,0.9159138290479499,0.9167698199330794,0.9163929135958013,0.915907981205239,0.915894823559139,0.9152067274001402,0.9166092350103378
banglabert-adaptfull,augmented,bidwesh_barishal,43,full,1439,0.9145239749826268,0.9145453351311047,0.9146895253701464,0.9145180304813586,0.9145314056092121,0.9152308752584425,0.9138051857042747
banglabert-adaptfull,augmented,bidwesh_barishal,44,full,1439,0.9096594857539958,0.9105619581490896,0.910149411205454,0.9096521120937798,0.9096367975687158,0.908835904628331,0.9104683195592287
banglabert-adaptfull,augmented,bidwesh_chittagong,42,full,1494,0.8842034805890228,0.8843171556651712,0.8842654986522911,0.8842021835913891,0.8841995895961219,0.8838146406984554,0.8845897264843229
banglabert-adaptfull,augmented,bidwesh_chittagong,43,full,1494,0.8902275769745649,0.8903535824428028,0.8901688937317199,0.8902037684983366,0.8902145905329859,0.8918205804749341,0.8885869565217391
banglabert-adaptfull,augmented,bidwesh_chittagong,44,full,1494,0.8875502008032129,0.8875899667373974,0.8875899667373974,0.8875502008032129,0.8875502008032129,0.8875502008032129,0.8875502008032129
banglabert-adaptfull,augmented,bidwesh_heldout,42,full,4408,0.9013157894736842,0.9020111823967432,0.9015346916657814,0.9012992855640913,0.9012865457040549,0.9000229832222477,0.9025755879059351
banglabert-adaptfull,augmented,bidwesh_heldout,43,full,4408,0.9015426497277677,0.9015530303030304,0.9015917212050238,0.9015410079392119,0.9015450212001259,0.9019430637144148,0.9011389521640091
banglabert-adaptfull,augmented,bidwesh_heldout,44,full,4408,0.9001814882032668,0.9008302005012532,0.9003934832324919,0.900166505829763,0.900154297969871,0.8989435002296738,0.9013895114298521
banglabert-adaptfull,augmented,bidwesh_noakhali,42,full,1475,0.9044067796610169,0.9059590711679034,0.9045558509562526,0.9043364266740264,0.9043241149013029,0.9017421602787457,0.906930693069307
banglabert-adaptfull,augmented,bidwesh_noakhali,43,full,1475,0.9003389830508475,0.9006818441068136,0.9004107417989535,0.9003272548243539,0.900322123725263,0.8992460589444825,0.9014084507042254
banglabert-adaptfull,augmented,bidwesh_noakhali,44,full,1475,0.903728813559322,0.9053477781099264,0.9038810871235939,0.9036543719617433,0.9036416624206932,0.900976290097629,0.9063324538258575
banglabert-adaptfull,augmented,clean,42,full,5028,0.9317820206841687,0.9316699597003564,0.9323071432917862,0.9317463155028153,0.931807169551035,0.933307408127552,0.9301852228780786
banglabert-adaptfull,augmented,clean,43,full,5028,0.9323786793953859,0.9322542209603002,0.9323068263643094,0.9322799311675841,0.9323807366501317,0.9348659003831418,0.9296939619520265
banglabert-adaptfull,augmented,clean,44,full,5028,0.9309864757358791,0.9308743783729729,0.9315103876149813,0.9309503541675712,0.9310119178839916,0.9325296519541124,0.9293710563810299
banglabert-nct,clean,augmented,42,full,5028,0.9075178997613366,0.9072877351656751,0.9076178589900916,0.9074181979656808,0.9075366316138537,0.9104563835932987,0.904380012338063
banglabert-nct,clean,augmented,43,full,5028,0.9186555290373906,0.9186045039775182,0.9192383218563329,0.9186200390751649,0.918686287004653,0.920319501266316,0.9169205768840138
banglabert-nct,clean,augmented,44,full,5028,0.9154733492442323,0.9158252981379404,0.9163774175227934,0.9154600767541322,0.9155013689455548,0.9165193478687881,0.9144008056394763
banglabert-nct,clean,bidwesh_barishal,42,full,1439,0.9054899235580264,0.9054538816384246,0.905587074732656,0.9054767314260985,0.905497683635631,0.9065934065934066,0.9043600562587905
banglabert-nct,clean,bidwesh_barishal,43,full,1439,0.9096594857539958,0.910171879892836,0.9100450629760888,0.9096583950517121,0.9096525052593798,0.9093444909344491,0.909972299168975
banglabert-nct,clean,bidwesh_barishal,44,full,1439,0.9103544127866574,0.9110017439454929,0.9107793653308804,0.9103516420150706,0.910342290660965,0.909853249475891,0.9108500345542502
banglabert-nct,clean,bidwesh_chittagong,42,full,1494,0.8319946452476573,0.8329526878665212,0.8318123817170384,0.8318137273589623,0.8318506493770635,0.8373298768632534,0.8262975778546713
banglabert-nct,clean,bidwesh_chittagong,43,full,1494,0.8467202141900937,0.846737550389042,0.8466909445432127,0.8467047612902705,0.8467150632234859,0.8482438701126573,0.8451656524678837
