pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
1,0.9704446318286425,0.7951044765173269,-0.029401441986754318,0.47863645325734655,7,1
1,0.9984361638279429,0.9284810193768517,-0.0015637885263761753,0.4050934841898186,9,2
0,0.9165076974703485,0.36652971636535703,-0.08174639235479919,0.565946417932495,17,3
1,0.9689270022018162,0.8058045457150903,-0.02404600595998907,0.3657380136392748,9,2
1,0.9901317766569306,0.8115578038289183,-0.009868172893601979,0.3442624937424558,15,3
0,0.7055488366534066,0.36534943934295827,-0.2878732228490761,0.43497971341350483,8,2
1,0.7794103561342339,0.24579114736990826,-0.09768173833324578,0.5169539295113614,8,2
1,0.9642900638526266,0.7754617088277768,-0.03562817713981559,0.29882968649795055,19,4
1,0.9996903412460856,0.18165748250309965,-0.0003094080675627442,0.7953811405295634,5,1
1,0.9998861061539865,0.10134102434804249,-0.00011065156724898717,0.7883625679364431,11,2
1,0.9992625154883634,0.8876118846118024,-0.0007367303860836838,0.3810099667697584,18,4
1,0.9980395790498925,0.6609967586108879,-0.0018859297676155906,0.47913713135880803,15,3
1,0.9747843402868521,0.7683556564883042,-0.024793257824087367,0.4335904692679165,8,2
1,0.9989695892458162,0.3604643741772857,-0.0009775195155514727,0.574064761754857,26,5
1,0.9922909448551391,0.8894092751297992,-0.007704584786864865,0.2928832373402627,9,2
1,0.8868565615426199,0.5681752204727285,-0.03088210170654082,0.3839447740849833,13,3
0,0.5937976960542497,0.45828625777470533,-0.40430872981534205,0.1884983990298992,63,13
1,0.9999999729502586,3.2086746593051885e-08,0.002620198103727156,0.9090889589347597,6,1
1,0.9999822968376308,0.007467531366957325,0.0002999301856679848,0.8621892025376966,5,1
1,0.9999916598296505,0.09872888411157277,-8.289491746693578e-06,0.7488785790174333,21,4
1,0.7041867425310174,0.48094202501680555,-0.23736769624172904,0.39299081119826873,5,1
0,0.7076071019690122,0.06190426320674547,-0.2499417817568983,0.6088596927963973,7,1
1,0.5615828743420173,0.527526283202277,-0.2821714263108124,0.1374231622962614,19,4
1,0.9982508338352362,0.6797298469204722,-0.0017463624621728568,0.42375359372238663,17,3
1,0.9926268033255562,0.9293304215723263,-0.007143271631626424,0.2806012904058968,9,2
1,0.919171002299674,0.2712317456106059,0.41293554307630254,0.6893034550266954,6,1
0,0.6854993180833578,0.6595296203032116,-0.3054237694954268,0.2930025441423977,5,1
1,0.9978634778494079,0.6219247729035177,-0.0021212345436425473,0.4269475865512342,38,8
1,0.9970260096011943,0.3777143552933899,-0.0029731203588816424,0.6901937551809886,5,1
1,0.9999892014949525,0.10038837558868607,-1.0796552922576197e-05,0.7231045206591155,9,2
1,0.9626610621653455,0.847937082740239,-0.03733806779473037,0.4482815123488884,5,1
1,0.9965076952950372,0.6784013476431063,-0.0033144648218500494,0.49862595497264234,8,2
1,0.966380795254768,0.850827469520285,-0.03336337617862217,0.28812277699871597,10,2
1,0.9999921226743299,0.0016828489691652626,-7.581339175555257e-06,0.8927023175949264,5,1
1,0.9636736096462085,0.86276986152302,-0.036106726317863935,0.3264330912436185,11,2
1,0.999991247330486,0.013608563133723828,-8.74643710002676e-06,0.8738160414696224,24,5
1,0.9290540046767345,0.3760467300770701,-0.00021098671845376504,0.5878176903277416,12,2
0,0.7232413725306743,0.6622977409550544,-0.27608966379705413,0.14669758415695647,58,12
1,0.9994950565626209,0.8675768873521202,-0.0005040529327764443,0.3189138201449481,48,10
0,0.9264125870273211,0.04471521682543067,-0.06503419889531348,0.818411304869975,5,1
0,0.8218663568975316,0.0841246837975741,-0.16918571281583483,0.7055472068354104,7,1
1,0.7775941759262455,0.7588777244180931,-0.22217914605198208,0.12927017671008775,13,3
1,0.9745184168491966,0.7463846463518191,-0.024224726483996872,0.5037457520075401,5,1
1,0.9999971212233207,0.00025583558174391285,-1.3596774359747599e-06,0.891132355632131,17,3
1,0.988525701404178,0.4474372317138281,-0.008680590304578684,0.6628398630376738,6,1
1,0.720339299083161,0.688357887905462,-0.24311799807804213,0.14717798975814445,15,3
1,0.8841517381901937,0.7376974242521346,-0.11563392467220257,0.32388375578978074,12,2
1,0.9086232718885023,0.8803800770041175,-0.0913038938956181,0.19636095745254753,16,3
1,0.8846580722281405,0.7701270683345245,-0.11375941623851338,0.20287404782030755,28,6
